08-17 04:41 INFO     Initialising repertoire with random population
08-17 04:55 INFO     Repertoire Metrics
08-17 04:55 INFO     Total Quality -209.68575352432154
08-17 04:55 INFO     Max Quality -0.03876079245915909
08-17 04:55 INFO     Max Quality Bin (16, 15)
08-17 04:55 INFO     Min Quality -1.3825127567207098
08-17 04:55 INFO     Min Quality Bin (31, 14)
08-17 04:55 INFO     Number of genomes 353
08-17 04:55 INFO     Mean quality -0.5940106332133754
08-17 04:55 INFO     
08-17 04:55 INFO     Number of better genomes found in this iteration 5
08-17 04:55 INFO     Total quality increase by better genomes in this iteration 0.7053305356308281
08-17 04:55 INFO     Normalised quality increase by better genomes in this iteration 0.14106610712616563
08-17 04:55 INFO     Number of new genomes added in this iteration 6

08-17 04:55 INFO     Iteration 32
08-17 04:55 INFO     Repertoire Metrics
08-17 04:55 INFO     Total Quality -212.49256616525454
08-17 04:55 INFO     Max Quality -0.03876079245915909
08-17 04:55 INFO     Max Quality Bin (16, 15)
08-17 04:55 INFO     Min Quality -1.3825127567207098
08-17 04:55 INFO     Min Quality Bin (31, 14)
08-17 04:55 INFO     Number of genomes 357
08-17 04:55 INFO     Mean quality -0.5952172721715814
08-17 04:55 INFO     
08-17 04:55 INFO     Number of better genomes found in this iteration 8
08-17 04:55 INFO     Total quality increase by better genomes in this iteration 0.441966422301325
08-17 04:55 INFO     Normalised quality increase by better genomes in this iteration 0.055245802787665624
08-17 04:55 INFO     Number of new genomes added in this iteration 4

08-17 04:55 INFO     Iteration 33
08-17 04:56 INFO     Repertoire Metrics
08-17 04:56 INFO     Total Quality -216.02590549350202
08-17 04:56 INFO     Max Quality -0.03876079245915909
08-17 04:56 INFO     Max Quality Bin (16, 15)
08-17 04:56 INFO     Min Quality -1.3825127567207098
08-17 04:56 INFO     Min Quality Bin (31, 14)
08-17 04:56 INFO     Number of genomes 361
08-17 04:56 INFO     Mean quality -0.5984097105083158
08-17 04:56 INFO     
08-17 04:56 INFO     Number of better genomes found in this iteration 5
08-17 04:56 INFO     Total quality increase by better genomes in this iteration 0.4277794927434226
08-17 04:56 INFO     Normalised quality increase by better genomes in this iteration 0.08555589854868452
08-17 04:56 INFO     Number of new genomes added in this iteration 4

08-17 04:56 INFO     Iteration 34
08-17 04:56 INFO     Repertoire Metrics
08-17 04:56 INFO     Total Quality -222.26275897654182
08-17 04:56 INFO     Max Quality -0.03876079245915909
08-17 04:56 INFO     Max Quality Bin (16, 15)
08-17 04:56 INFO     Min Quality -1.3825127567207098
08-17 04:56 INFO     Min Quality Bin (31, 14)
08-17 04:56 INFO     Number of genomes 370
08-17 04:56 INFO     Mean quality -0.600710159396059
08-17 04:56 INFO     
08-17 04:56 INFO     Number of better genomes found in this iteration 7
08-17 04:56 INFO     Total quality increase by better genomes in this iteration 0.4049786307835541
08-17 04:56 INFO     Normalised quality increase by better genomes in this iteration 0.057854090111936304
08-17 04:56 INFO     Number of new genomes added in this iteration 9

08-17 04:56 INFO     Iteration 35
08-17 04:56 INFO     Repertoire Metrics
08-17 04:56 INFO     Total Quality -222.9648605340666
08-17 04:56 INFO     Max Quality -0.03876079245915909
08-17 04:56 INFO     Max Quality Bin (16, 15)
08-17 04:56 INFO     Min Quality -1.3825127567207098
08-17 04:56 INFO     Min Quality Bin (31, 14)
08-17 04:56 INFO     Number of genomes 372
08-17 04:56 INFO     Mean quality -0.5993679046614693
08-17 04:56 INFO     
08-17 04:56 INFO     Number of better genomes found in this iteration 7
